Datetime,Ticker,Open,High,Low,Close,Volume,RUN_JST,RUN_ET,BASE_SESSION,POS,CC2,SD20,SIG,C2,SRC2_CLOSE,ZEROV
2026-08-28 09:30:00-04:00,SOXS,46.60499954223633,47.86000061035156,46.150001525878906,46.76499938964844,15788638,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 10:30:00-04:00,SOXS,46.77000045776367,47.56999969482422,46.410499572753906,47.349998474121094,5431285,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 11:30:00-04:00,SOXS,47.349998474121094,50.04999923706055,47.349998474121094,49.75,12859325,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 12:30:00-04:00,SOXS,49.7599983215332,50.22999954223633,49.13999938964844,49.72010040283203,5201974,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 13:30:00-04:00,SOXS,49.72990036010742,49.769901275634766,49.150001525878906,49.540000915527344,2808211,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 14:30:00-04:00,SOXS,49.54999923706055,49.97999954223633,49.30500030517578,49.369998931884766,2869068,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 15:30:00-04:00,SOXS,49.36000061035156,49.869998931884766,49.209999084472656,49.775001525878906,3425444,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 16:00:00-04:00,SOXS,49.82,49.88,49.58,49.67,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 17:00:00-04:00,SOXS,49.67,49.7,49.55,49.56,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 18:00:00-04:00,SOXS,49.56,49.69,49.5,49.635,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-28 19:00:00-04:00,SOXS,49.64,49.75,49.52,49.7267,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 04:00:00-04:00,SOXS,48.64,50.77,47.96,48.59,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 05:00:00-04:00,SOXS,48.6,49.11,48.48,48.805,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 06:00:00-04:00,SOXS,48.8,49.47,48.79,49.13,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 07:00:00-04:00,SOXS,49.17,49.6,49.0,49.165,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 08:00:00-04:00,SOXS,49.18,49.5,48.75,49.31,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
2026-08-31 09:00:00-04:00,SOXS,49.32,49.93,49.1333,49.69,0,2026-09-10 22:18 JST,2026-09-10 09:18 ET,2026-09-09,0.6443,7.1167,6.132,none,1,125.87000274658203,0
